Sim: 5
ID: 0
Description: Finite volume test case for new fast chemsitry method
Variables: 25
time vel_x Ma p T rho u massf_H2 massf_O2 massf_OH massf_H2O massf_H massf_O conc_H2 conc_O2 conc_OH conc_H2O conc_H conc_O molef_H2 molef_O2 molef_OH molef_H2O molef_H molef_O
0.000025000 0.000000000 0.000000000 1644011.611266819 6865.930474966 0.515752363 5222328.277272555 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000026000 0.000000000 0.000000000 1644011.611267306 6865.930474974 0.515752363 5222328.277275135 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000027000 0.000000000 0.000000000 1644011.611267478 6865.930474977 0.515752363 5222328.277276025 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000028000 0.000000000 0.000000000 1644011.611267538 6865.930474978 0.515752363 5222328.277276321 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000029000 0.000000000 0.000000000 1644011.611267557 6865.930474978 0.515752363 5222328.277276462 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000030000 0.000000000 0.000000000 1644011.611267566 6865.930474978 0.515752363 5222328.277276495 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000031000 0.000000000 0.000000000 1644011.611267566 6865.930474978 0.515752363 5222328.277276523 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000032000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276538 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000033000 0.000000000 0.000000000 1644011.611267569 6865.930474978 0.515752363 5222328.277276524 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000034000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276525 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
