Sim: 1
ID: 76
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 3
time A Ma
0.001569900 0.060002032 0.939709064 
0.001579900 0.060002032 0.939639133 
0.001589900 0.060002032 0.939555014 
0.001599900 0.060002032 0.939458208 
0.001609900 0.060002032 0.939350196 
0.001619900 0.060002032 0.939232408 
0.001629900 0.060002032 0.939106207 
0.001639900 0.060002032 0.938972878 
0.001649900 0.060002032 0.938833619 
0.001659900 0.060002032 0.938689534 
0.001669900 0.060002032 0.938541639 
0.001679900 0.060002032 0.938390864 
0.001689900 0.060002032 0.938238059 
0.001699900 0.060002032 0.938084002 
0.001709900 0.060002032 0.937929411 
0.001719900 0.060002032 0.937774952 
0.001729900 0.060002032 0.937621252 
0.001739900 0.060002032 0.937468904 
0.001749900 0.060002032 0.937318481 
0.001759900 0.060002032 0.937170538 
0.001769900 0.060002032 0.937025621 
0.001779900 0.060002032 0.936884267 
0.001789900 0.060002032 0.936747009 
0.001799900 0.060002032 0.936614373 
0.001809900 0.060002032 0.936486879 
0.001819900 0.060002032 0.936365034 
0.001829900 0.060002032 0.936249330 
0.001839900 0.060002032 0.936140237 
0.001849900 0.060002032 0.936038198 
0.001859900 0.060002032 0.935943622 
0.001869900 0.060002032 0.935856878 
0.001879900 0.060002032 0.935778287 
0.001889900 0.060002032 0.935708121 
0.001899900 0.060002032 0.935646593 
0.001909900 0.060002032 0.935593857 
0.001919900 0.060002032 0.935550006 
0.001929900 0.060002032 0.935515069 
0.001939900 0.060002032 0.935489010 
0.001949900 0.060002032 0.935471734 
0.001959900 0.060002032 0.935463085 
0.001969900 0.060002032 0.935462851 
0.001979900 0.060002032 0.935470766 
0.001989900 0.060002032 0.935486518 
0.001999900 0.060002032 0.935509753 
0.002009900 0.060002032 0.935540078 
0.002019900 0.060002032 0.935577069 
0.002029900 0.060002032 0.935620275 
0.002039900 0.060002032 0.935669222 
0.002049900 0.060002032 0.935723422 
0.002059900 0.060002032 0.935782370 
0.002069900 0.060002032 0.935845556 
0.002079900 0.060002032 0.935912461 
0.002089900 0.060002032 0.935982565 
0.002099900 0.060002032 0.936055349 
0.002109900 0.060002032 0.936130294 
0.002119900 0.060002032 0.936206887 
0.002129900 0.060002032 0.936284623 
0.002139900 0.060002032 0.936363002 
0.002149900 0.060002032 0.936441538 
0.002159900 0.060002032 0.936519756 
0.002169900 0.060002032 0.936597193 
0.002179900 0.060002032 0.936673406 
0.002189900 0.060002032 0.936747968 
0.002199900 0.060002032 0.936820475 
0.002209900 0.060002032 0.936890543 
0.002219900 0.060002032 0.936957816 
0.002229900 0.060002032 0.937021963 
0.002239900 0.060002032 0.937082683 
0.002249900 0.060002032 0.937139706 
0.002259900 0.060002032 0.937192796 
0.002269900 0.060002032 0.937241748 
0.002279900 0.060002032 0.937286394 
0.002289900 0.060002032 0.937326599 
0.002299900 0.060002032 0.937362265 
0.002309900 0.060002032 0.937393328 
0.002319900 0.060002032 0.937419757 
0.002329900 0.060002032 0.937441557 
0.002339900 0.060002032 0.937458761 
0.002349900 0.060002032 0.937471435 
0.002359900 0.060002032 0.937479671 
0.002369900 0.060002032 0.937483587 
0.002379900 0.060002032 0.937483325 
0.002389900 0.060002032 0.937479047 
0.002399900 0.060002032 0.937470935 
0.002409900 0.060002032 0.937459186 
0.002419900 0.060002032 0.937444011 
0.002429900 0.060002032 0.937425633 
0.002439900 0.060002032 0.937404282 
0.002449900 0.060002032 0.937380199 
0.002459900 0.060002032 0.937353627 
0.002469900 0.060002032 0.937324814 
0.002479900 0.060002032 0.937294009 
0.002489900 0.060002032 0.937261463 
0.002499900 0.060002032 0.937227425 
0.002509900 0.060002032 0.937192142 
0.002519900 0.060002032 0.937155859 
0.002529900 0.060002032 0.937118816 
0.002539900 0.060002032 0.937081247 
0.002549900 0.060002032 0.937043383 
0.002559900 0.060002032 0.937005446 
0.002569900 0.060002032 0.936967652 
0.002579900 0.060002032 0.936930209 
0.002589900 0.060002032 0.936893315 
0.002599900 0.060002032 0.936857160 
0.002609900 0.060002032 0.936821924 
0.002619900 0.060002032 0.936787776 
0.002629900 0.060002032 0.936754875 
0.002639900 0.060002032 0.936723367 
0.002649900 0.060002032 0.936693387 
0.002659900 0.060002032 0.936665057 
0.002669900 0.060002032 0.936638487 
0.002679900 0.060002032 0.936613771 
